gene	division	category
HTRA3	Matrisome-associated	ECM Regulators
HTRA4	Matrisome-associated	ECM Regulators
HYAL1	Matrisome-associated	ECM Regulators
HYAL2	Matrisome-associated	ECM Regulators
HYAL3	Matrisome-associated	ECM Regulators
HYAL4	Matrisome-associated	ECM Regulators
HYALP1	Matrisome-associated	ECM Regulators
ITIH1	Matrisome-associated	ECM Regulators
ITIH2	Matrisome-associated	ECM Regulators
ITIH3	Matrisome-associated	ECM Regulators
ITIH4	Matrisome-associated	ECM Regulators
ITIH5	Matrisome-associated	ECM Regulators
ITIH5L	Matrisome-associated	ECM Regulators
KAZALD1	Matrisome-associated	ECM Regulators
KNG1	Matrisome-associated	ECM Regulators
KY	Matrisome-associated	ECM Regulators
LEPRE1	Matrisome-associated	ECM Regulators
LEPREL1	Matrisome-associated	ECM Regulators
LEPREL2	Matrisome-associated	ECM Regulators
LOC100133189	Matrisome-associated	ECM Regulators
LOC644021	Matrisome-associated	ECM Regulators
LOC728715	Matrisome-associated	ECM Regulators
LOX	Matrisome-associated	ECM Regulators
LOXL1	Matrisome-associated	ECM Regulators
LOXL2	Matrisome-associated	ECM Regulators
LOXL3	Matrisome-associated	ECM Regulators
LOXL4	Matrisome-associated	ECM Regulators
LPA	Matrisome-associated	ECM Regulators
LPAL2	Matrisome-associated	ECM Regulators
MASP1	Matrisome-associated	ECM Regulators
MASP2	Matrisome-associated	ECM Regulators
MEP1A	Matrisome-associated	ECM Regulators
MEP1B	Matrisome-associated	ECM Regulators
MMP1	Matrisome-associated	ECM Regulators
MMP10	Matrisome-associated	ECM Regulators
MMP11	Matrisome-associated	ECM Regulators
MMP12	Matrisome-associated	ECM Regulators
MMP13	Matrisome-associated	ECM Regulators
MMP14	Matrisome-associated	ECM Regulators
MMP15	Matrisome-associated	ECM Regulators
MMP16	Matrisome-associated	ECM Regulators
MMP17	Matrisome-associated	ECM Regulators
MMP19	Matrisome-associated	ECM Regulators
MMP2	Matrisome-associated	ECM Regulators
MMP20	Matrisome-associated	ECM Regulators
MMP21	Matrisome-associated	ECM Regulators
MMP23B	Matrisome-associated	ECM Regulators
MMP24	Matrisome-associated	ECM Regulators
MMP25	Matrisome-associated	ECM Regulators
MMP26	Matrisome-associated	ECM Regulators
MMP27	Matrisome-associated	ECM Regulators
MMP28	Matrisome-associated	ECM Regulators
MMP3	Matrisome-associated	ECM Regulators
MMP7	Matrisome-associated	ECM Regulators
MMP8	Matrisome-associated	ECM Regulators
MMP9	Matrisome-associated	ECM Regulators
NGLY1	Matrisome-associated	ECM Regulators
OGFOD1	Matrisome-associated	ECM Regulators
OGFOD2	Matrisome-associated	ECM Regulators
OVOS1	Matrisome-associated	ECM Regulators
OVOS2	Matrisome-associated	ECM Regulators
P4HA1	Matrisome-associated	ECM Regulators
P4HA2	Matrisome-associated	ECM Regulators
P4HA3	Matrisome-associated	ECM Regulators
P4HTM	Matrisome-associated	ECM Regulators
PAMR1	Matrisome-associated	ECM Regulators
PAPPA	Matrisome-associated	ECM Regulators
PAPPA2	Matrisome-associated	ECM Regulators
PCSK5	Matrisome-associated	ECM Regulators
PCSK6	Matrisome-associated	ECM Regulators
PI3	Matrisome-associated	ECM Regulators
PLAT	Matrisome-associated	ECM Regulators
PLAU	Matrisome-associated	ECM Regulators
PLG	Matrisome-associated	ECM Regulators
PLOD1	Matrisome-associated	ECM Regulators
PLOD2	Matrisome-associated	ECM Regulators
PLOD3	Matrisome-associated	ECM Regulators
PRSS1	Matrisome-associated	ECM Regulators
PRSS12	Matrisome-associated	ECM Regulators
PRSS2	Matrisome-associated	ECM Regulators
PRSS3	Matrisome-associated	ECM Regulators
PRSS7	Matrisome-associated	ECM Regulators
PZP	Matrisome-associated	ECM Regulators
SERPINA1	Matrisome-associated	ECM Regulators
SERPINA10	Matrisome-associated	ECM Regulators
SERPINA11	Matrisome-associated	ECM Regulators
SERPINA12	Matrisome-associated	ECM Regulators
SERPINA13	Matrisome-associated	ECM Regulators
SERPINA2	Matrisome-associated	ECM Regulators
SERPINA3	Matrisome-associated	ECM Regulators
SERPINA4	Matrisome-associated	ECM Regulators
SERPINA5	Matrisome-associated	ECM Regulators
SERPINA6	Matrisome-associated	ECM Regulators
SERPINA7	Matrisome-associated	ECM Regulators
SERPINA9	Matrisome-associated	ECM Regulators
SERPINB1	Matrisome-associated	ECM Regulators
SERPINB10	Matrisome-associated	ECM Regulators
SERPINB11	Matrisome-associated	ECM Regulators
SERPINB12	Matrisome-associated	ECM Regulators
SERPINB13	Matrisome-associated	ECM Regulators
SERPINB2	Matrisome-associated	ECM Regulators
SERPINB3	Matrisome-associated	ECM Regulators
SERPINB4	Matrisome-associated	ECM Regulators
SERPINB5	Matrisome-associated	ECM Regulators
SERPINB6	Matrisome-associated	ECM Regulators
SERPINB7	Matrisome-associated	ECM Regulators
SERPINB8	Matrisome-associated	ECM Regulators
SERPINB9	Matrisome-associated	ECM Regulators
SERPINC1	Matrisome-associated	ECM Regulators
SERPIND1	Matrisome-associated	ECM Regulators
SERPINE1	Matrisome-associated	ECM Regulators
SERPINE2	Matrisome-associated	ECM Regulators
SERPINE3	Matrisome-associated	ECM Regulators
SERPINF1	Matrisome-associated	ECM Regulators
SERPINF2	Matrisome-associated	ECM Regulators
SERPING1	Matrisome-associated	ECM Regulators
SERPINH1	Matrisome-associated	ECM Regulators
SERPINI1	Matrisome-associated	ECM Regulators
SERPINI2	Matrisome-associated	ECM Regulators
SLPI	Matrisome-associated	ECM Regulators
SPAM1	Matrisome-associated	ECM Regulators
ST14	Matrisome-associated	ECM Regulators
SULF1	Matrisome-associated	ECM Regulators
SULF2	Matrisome-associated	ECM Regulators
TGM1	Matrisome-associated	ECM Regulators
TGM2	Matrisome-associated	ECM Regulators
TGM3	Matrisome-associated	ECM Regulators
TGM4	Matrisome-associated	ECM Regulators
TGM5	Matrisome-associated	ECM Regulators
TGM6	Matrisome-associated	ECM Regulators
TGM7	Matrisome-associated	ECM Regulators
TIMP1	Matrisome-associated	ECM Regulators
TIMP2	Matrisome-associated	ECM Regulators
TIMP3	Matrisome-associated	ECM Regulators
TIMP4	Matrisome-associated	ECM Regulators
TLL1	Matrisome-associated	ECM Regulators
TLL2	Matrisome-associated	ECM Regulators
TRY5	Matrisome-associated	ECM Regulators
-	Matrisome-associated	ECM Regulators
